Хозяева;Гости;Голы хозяев;Голы гостей;День;Месяц;Год;Тур;Стадион;Город;Время начана;Сезон,
"Крылья Советов;Спартак Нч;2;0;12;сентября;2010;20;стадион ""Металлург"";Самара;15:15;2010",
"Динамо;Терек;3;1;12;сентября;2010;20;стадион ""Арена Химки"";Химки;17:30;2010",
"Ростов;Анжи;1;0;12;сентября;2010;20;стадион ""Олимп-2"";Ростов-на-Дону;19:45;2010",
"Амкар;Крылья Советов;2;1;18;сентября;2010;21;стадион ""Звезда"";Пермь;15:00;2010",
"Алания;Ростов;0;0;18;сентября;2010;21;стадион ""Республиканский стадион Спартак"";Владикавказ;17:15;2010",
"Cатурн;Динамо;3;2;18;сентября;2010;21;стадион ""Сатурн"";Раменское;19:30;2010",
"Томь;Локомотив;1;1;19;сентября;2010;21;стадион ""Труд"";Томск;14:00;2010",
"Анжи;Рубин;0;1;19;сентября;2010;21;стадион ""Динамо"";Махачкала;16:15;2010",
"Терек;Зенит;0;0;20;сентября;2010;21;стадион ""им. Билимханова"";Грозный;16:00;2010",
"Спартак Нч;Спартак;0;2;20;сентября;2010;21;стадион ""Спартак"";Нальчик;19:15;2010",
"ЦСКА;Сибирь;1;0;20;сентября;2010;21;стадион ""Арена Химки"";Химки;20:00;2010",
"Спартак;Амкар;2;2;24;сентября;2010;22;стадион ""Лужники"";Москва;18:00;2010",
"Зенит;Cатурн;6;1;25;сентября;2010;22;стадион ""Петровский"";Санкт-Петербург;15:00;2010",
"Рубин;Алания;1;0;25;сентября;2010;22;стадион ""Центральный"";Казань;18:00;2010",
"Томь;ЦСКА;0;3;26;сентября;2010;22;стадион ""Труд"";Томск;13:30;2010",
"Динамо;Спартак Нч;0;3;26;сентября;2010;22;стадион ""Арена Химки"";Химки;15:45;2010",
"Ростов;Сибирь;0;1;26;сентября;2010;22;стадион ""Олимп-2"";Ростов-на-Дону;18:00;2010",
"Локомотив;Терек;2;1;26;сентября;2010;22;стадион ""РЖД Арена"";Москва;20:15;2010",
"Крылья Советов;Анжи;3;0;27;сентября;2010;22;стадион ""Металлург"";Самара;19:00;2010",
"Амкар;Динамо;0;1;2;октября;2010;23;стадион ""Звезда"";Пермь;14:00;2010",
"Алания;Крылья Советов;2;3;2;октября;2010;23;стадион ""Республиканский стадион Спартак"";Владикавказ;16:15;2010",
"Терек;Томь;1;0;2;октября;2010;23;стадион ""им. Билимханова"";Грозный;18:30;2010",
"Сибирь;Рубин;2;2;3;октября;2010;23;стадион ""Спартак"";Новосибирск;11:45;2010",
"ЦСКА;Ростов;2;0;3;октября;2010;23;стадион ""Арена Химки"";Химки;15:00;2010",
