Хозяева;Гости;Голы хозяев;Голы гостей;День;Месяц;Год;Тур;Стадион;Город;Время начана;Сезон,
"Мордовия;ЦСКА;0;3;19;августа;2012;5;стадион ""Старт"";Саранск;18:30;2012/2013",
"Анжи;Зенит;1;1;19;августа;2012;5;стадион ""Динамо"";Махачкала;21:00;2012/2013",
"Крылья Советов;Амкар;0;2;20;августа;2012;5;стадион ""Металлург"";Самара;18:00;2012/2013",
"Алания;Кубань;2;1;20;августа;2012;5;стадион ""Республиканский стадион Спартак"";Владикавказ;20:00;2012/2013",
"Локомотив;Динамо;2;3;25;августа;2012;6;стадион ""РЖД Арена"";Москва;13:30;2012/2013",
"Зенит;Рубин;1;2;25;августа;2012;6;стадион ""Петровский"";Санкт-Петербург;16:00;2012/2013",
"Терек;Спартак;2;1;25;августа;2012;6;стадион ""Ахмат Арена"";Грозный;18:30;2012/2013",
"Ростов;Алания;3;1;25;августа;2012;6;стадион ""Олимп-2"";Ростов-на-Дону;20:45;2012/2013",
"Амкар;Краснодар;2;2;26;августа;2012;6;стадион ""Звезда"";Пермь;14:00;2012/2013",
"ЦСКА;Крылья Советов;3;0;26;августа;2012;6;стадион ""Арена Химки"";Химки;16:30;2012/2013",
"Анжи;Мордовия;4;2;26;августа;2012;6;стадион ""Динамо"";Махачкала;19:00;2012/2013",
"Кубань;Волга НН;6;2;27;августа;2012;6;стадион ""Кубань"";Краснодар;19:30;2012/2013",
"Мордовия;Зенит;0;3;31;августа;2012;7;стадион ""Старт"";Саранск;19:00;2012/2013",
"Рубин;Терек;1;2;1;сентября;2012;7;стадион ""Центральный"";Казань;14:00;2012/2013",
"Волга НН;Ростов;1;1;1;сентября;2012;7;стадион ""Локомотив"";Нижний Новгород;16:30;2012/2013",
"Алания;Амкар;1;1;1;сентября;2012;7;стадион ""Республиканский стадион Спартак"";Владикавказ;19:00;2012/2013",
"Краснодар;ЦСКА;0;1;2;сентября;2012;7;стадион ""Кубань"";Краснодар;13:30;2012/2013",
"Динамо;Кубань;1;2;2;сентября;2012;7;стадион ""Арена Химки"";Химки;16:00;2012/2013",
"Крылья Советов;Анжи;1;2;2;сентября;2012;7;стадион ""Металлург"";Самара;18:15;2012/2013",
"Локомотив;Спартак;2;1;2;сентября;2012;7;стадион ""РЖД Арена"";Москва;20:30;2012/2013",
"Зенит;Терек;0;2;14;сентября;2012;8;стадион ""Петровский"";Санкт-Петербург;20:00;2012/2013",
"Локомотив;Рубин;1;0;15;сентября;2012;8;стадион ""РЖД Арена"";Москва;13:30;2012/2013",
"Кубань;Спартак;2;2;15;сентября;2012;8;стадион ""Кубань"";Краснодар;17:00;2012/2013",
"ЦСКА;Алания;2;0;16;сентября;2012;8;стадион ""Арена Химки"";Химки;15:00;2012/2013",
"Анжи;Краснодар;5;2;16;сентября;2012;8;стадион ""Динамо"";Махачкала;17:30;2012/2013",
"Ростов;Динамо;1;0;16;сентября;2012;8;стадион ""Олимп-2"";Ростов-на-Дону;20:00;2012/2013",
"Амкар;Волга НН;3;2;17;сентября;2012;8;стадион ""Звезда"";Пермь;17:00;2012/2013",
"Мордовия;Крылья Советов;2;3;17;сентября;2012;8;стадион ""Старт"";Саранск;19:30;2012/2013",
"Краснодар;Мордовия;6;1;21;сентября;2012;9;стадион ""Кубань"";Краснодар;19:00;2012/2013",
"Волга НН;ЦСКА;2;3;22;сентября;2012;9;стадион ""Локомотив"";Нижний Новгород;13:30;2012/2013",
"Динамо;Амкар;3;2;22;сентября;2012;9;стадион ""Арена Химки"";Химки;15:45;2012/2013",
"Крылья Советов;Зенит;2;2;22;сентября;2012;9;стадион ""Металлург"";Самара;18:00;2012/2013",
"Терек;Локомотив;0;3;22;сентября;2012;9;стадион ""Ахмат Арена"";Грозный;20:15;2012/2013",
"Спартак;Ростов;3;1;23;сентября;2012;9;стадион ""Лужники"";Москва;15:00;2012/2013",
"Рубин;Кубань;1;0;23;сентября;2012;9;стадион ""Центральный"";Казань;19:00;2012/2013",
"Алания;Анжи;0;1;24;сентября;2012;9;стадион ""Республиканский стадион Спартак"";Владикавказ;19:00;2012/2013",
"Зенит;Локомотив;1;1;29;сентября;2012;10;стадион ""Петровский"";Санкт-Петербург;14:00;2012/2013",
"Амкар;Спартак;1;3;29;сентября;2012;10;стадион ""Звезда"";Пермь;16:30;2012/2013",
"Кубань;Терек;2;1;29;сентября;2012;10;стадион ""Кубань"";Краснодар;19:00;2012/2013",
"ЦСКА;Динамо;0;2;30;сентября;2012;10;стадион ""Арена Химки"";Химки;13:30;2012/2013",
"Анжи;Волга НН;2;1;30;сентября;2012;10;стадион ""Динамо"";Махачкала;16:00;2012/2013",
"Ростов;Рубин;0;4;30;сентября;2012;10;стадион ""Олимп-2"";Ростов-на-Дону;18:30;2012/2013",
"Крылья Советов;Краснодар;2;2;1;октября;2012;10;стадион ""Металлург"";Самара;17:30;2012/2013",
"Мордовия;Алания;1;1;1;октября;2012;10;стадион ""Старт"";Саранск;20:00;2012/2013",
"Терек;Ростов;2;1;5;октября;2012;11;стадион ""Ахмат Арена"";Грозный;19:00;2012/2013",
"Локомотив;Кубань;0;1;6;октября;2012;11;стадион ""РЖД Арена"";Москва;14:00;2012/2013",
"Волга НН;Мордовия;0;2;6;октября;2012;11;стадион ""Локомотив"";Нижний Новгород;16:30;2012/2013",
"Алания;Крылья Советов;2;2;6;октября;2012;11;стадион ""Республиканский стадион Спартак"";Владикавказ;19:00;2012/2013",
"Динамо;Анжи;0;2;7;октября;2012;11;стадион ""Арена Химки"";Химки;13:30;2012/2013",
"Рубин;Амкар;0;1;7;октября;2012;11;стадион ""Центральный"";Казань;15:45;2012/2013",
"Спартак;ЦСКА;0;2;7;октября;2012;11;стадион ""Лужники"";Москва;18:00;2012/2013",
"Краснодар;Зенит;0;2;7;октября;2012;11;стадион ""Кубань"";Краснодар;20:15;2012/2013",
"Анжи;Спартак;2;1;20;октября;2012;12;стадион ""Динамо"";Махачкала;13:30;2012/2013",
"Зенит;Кубань;1;0;20;октября;2012;12;стадион ""Петровский"";Санкт-Петербург;16:00;2012/2013",
"Краснодар;Алания;2;0;20;октября;2012;12;стадион ""Кубань"";Краснодар;18:30;2012/2013",
"Амкар;Терек;0;1;21;октября;2012;12;стадион ""Звезда"";Пермь;13:00;2012/2013",
"ЦСКА;Рубин;2;0;21;октября;2012;12;стадион ""Арена Химки"";Химки;15:15;2012/2013",
"Мордовия;Динамо;1;2;21;октября;2012;12;стадион ""Старт"";Саранск;17:45;2012/2013",
"Ростов;Локомотив;0;0;21;октября;2012;12;стадион ""Олимп-2"";Ростов-на-Дону;20:00;2012/2013",
"Крылья Советов;Волга НН;0;1;22;октября;2012;12;стадион ""Металлург"";Самара;19:00;2012/2013",
"Локомотив;Амкар;1;2;26;октября;2012;13;стадион ""РЖД Арена"";Москва;18:30;2012/2013",
"Кубань;Ростов;1;0;26;октября;2012;13;стадион ""Кубань"";Краснодар;20:30;2012/2013",
"Спартак;Мордовия;2;0;27;октября;2012;13;стадион ""Лужники"";Москва;13:30;2012/2013",
"Волга НН;Краснодар;1;1;27;октября;2012;13;стадион ""Локомотив"";Нижний Новгород;16:00;2012/2013",
"Алания;Зенит;2;3;27;октября;2012;13;стадион ""Республиканский стадион Спартак"";Владикавказ;18:30;2012/2013",
"Динамо;Крылья Советов;1;0;28;октября;2012;13;стадион ""Арена Химки"";Химки;13:30;2012/2013",
"Терек;ЦСКА;1;2;28;октября;2012;13;стадион ""Ахмат Арена"";Грозный;16:00;2012/2013",
"Рубин;Анжи;2;1;28;октября;2012;13;стадион ""Центральный"";Казань;18:30;2012/2013",
"Зенит;Ростов;2;1;2;ноября;2012;14;стадион ""Петровский"";Санкт-Петербург;19:00;2012/2013",
"Амкар;Кубань;0;3;3;ноября;2012;14;стадион ""Звезда"";Пермь;13:00;2012/2013",
"Крылья Советов;Спартак;0;5;3;ноября;2012;14;стадион ""Металлург"";Самара;15:30;2012/2013",
"Мордовия;Рубин;1;3;3;ноября;2012;14;стадион ""Старт"";Саранск;18:00;2012/2013",
"ЦСКА;Локомотив;2;1;4;ноября;2012;14;стадион ""Лужники"";Москва;13:30;2012/2013",
"Анжи;Терек;3;1;4;ноября;2012;14;стадион ""Динамо"";Махачкала;15:45;2012/2013",
"Краснодар;Динамо;2;0;4;ноября;2012;14;стадион ""Кубань"";Краснодар;18:00;2012/2013",
"Алания;Волга НН;0;2;5;ноября;2012;14;стадион ""Республиканский стадион Спартак"";Владикавказ;19:00;2012/2013",
"Ростов;Амкар;3;0;9;ноября;2012;15;стадион ""Олимп-2"";Ростов-на-Дону;19:00;2012/2013",
"Динамо;Алания;2;0;10;ноября;2012;15;стадион ""Арена Химки"";Химки;13:30;2012/2013",
"Терек;Мордовия;2;1;10;ноября;2012;15;стадион ""Ахмат Арена"";Грозный;16:00;2012/2013",
"Кубань;ЦСКА;1;3;10;ноября;2012;15;стадион ""Кубань"";Краснодар;18:30;2012/2013",
"Локомотив;Анжи;1;1;11;ноября;2012;15;стадион ""РЖД Арена"";Москва;13:30;2012/2013",
"Рубин;Крылья Советов;2;0;11;ноября;2012;15;стадион ""Центральный"";Казань;15:45;2012/2013",
"Волга НН;Зенит;1;2;11;ноября;2012;15;стадион ""Локомотив"";Нижний Новгород;18:00;2012/2013",
"Спартак;Краснодар;2;0;11;ноября;2012;15;стадион ""Лужники"";Москва;20:15;2012/2013",
"Волга НН;Спартак;1;1;17;ноября;2012;16;стадион ""Локомотив"";Нижний Новгород;13:30;2012/2013",
"Динамо;Зенит;3;0;17;ноября;2012;16;стадион ""Арена Химки"";Химки;16:00;2012/2013",
"Алания;Рубин;0;2;17;ноября;2012;16;стадион ""Республиканский стадион Спартак"";Владикавказ;18:30;2012/2013",
"ЦСКА;Амкар;3;0;18;ноября;2012;16;стадион ""Арена Химки"";Химки;13:30;2012/2013",
"Мордовия;Кубань;0;3;18;ноября;2012;16;стадион ""Старт"";Саранск;16:00;2012/2013",
"Анжи;Ростов;0;0;18;ноября;2012;16;стадион ""Динамо"";Махачкала;18:30;2012/2013",
"Крылья Советов;Локомотив;0;1;19;ноября;2012;16;стадион ""Металлург"";Самара;17:45;2012/2013",
"Краснодар;Терек;3;0;19;ноября;2012;16;стадион ""Кубань"";Краснодар;19:45;2012/2013",
"Ростов;Мордовия;2;0;23;ноября;2012;17;стадион ""Олимп-2"";Ростов-на-Дону;19:00;2012/2013",
"Терек;Алания;1;0;24;ноября;2012;17;стадион ""Ахмат Арена"";Грозный;14:00;2012/2013",
"Локомотив;Краснодар;3;2;24;ноября;2012;17;стадион ""РЖД Арена"";Москва;16:30;2012/2013",
"Спартак;Динамо;1;5;25;ноября;2012;17;стадион ""Лужники"";Москва;13:30;2012/2013",
"Кубань;Крылья Советов;4;1;25;ноября;2012;17;стадион ""Кубань"";Краснодар;16:00;2012/2013",
"Амкар;Анжи;1;2;26;ноября;2012;17;стадион ""Звезда"";Пермь;15:30;2012/2013",
"Рубин;Волга НН;0;0;26;ноября;2012;17;стадион ""Центральный"";Казань;17:45;2012/2013",
"Зенит;ЦСКА;1;1;26;ноября;2012;17;стадион ""Петровский"";Санкт-Петербург;20:00;2012/2013",
"Краснодар;Кубань;2;1;30;ноября;2012;18;стадион ""Кубань"";Краснодар;18:15;2012/2013",
"Спартак;Зенит;2;4;30;ноября;2012;18;стадион ""Лужники"";Москва;20:30;2012/2013",
"Динамо;Рубин;3;0;1;декабря;2012;18;стадион ""Арена Химки"";Химки;13:30;2012/2013",
"Алания;Локомотив;0;1;1;декабря;2012;18;стадион ""Республиканский стадион Спартак"";Владикавказ;16:00;2012/2013",
"Волга НН;Терек;1;1;1;декабря;2012;18;стадион ""Локомотив"";Нижний Новгород;18:30;2012/2013",
"Анжи;ЦСКА;2;0;2;декабря;2012;18;стадион ""Динамо"";Махачкала;13:30;2012/2013",
"Крылья Советов;Ростов;0;2;2;декабря;2012;18;стадион ""Металлург"";Самара;16:00;2012/2013",
"Мордовия;Амкар;1;1;3;декабря;2012;18;стадион ""Старт"";Саранск;18:00;2012/2013",
"Ростов;Краснодар;2;3;7;декабря;2012;19;стадион ""Олимп-2"";Ростов-на-Дону;18:30;2012/2013",
"Амкар;Крылья Советов;0;2;8;декабря;2012;19;стадион ""Звезда"";Пермь;12:00;2012/2013",
"Кубань;Алания;0;0;8;декабря;2012;19;стадион ""Кубань"";Краснодар;14:30;2012/2013",
"Локомотив;Волга НН;0;1;8;декабря;2012;19;стадион ""РЖД Арена"";Москва;17:00;2012/2013",
"Терек;Динамо;1;2;9;декабря;2012;19;стадион ""Ахмат Арена"";Грозный;13:30;2012/2013",
"ЦСКА;Мордовия;2;1;9;декабря;2012;19;стадион ""Лужники"";Москва;16:00;2012/2013",
"Рубин;Спартак;0;1;10;декабря;2012;19;стадион ""Центральный"";Казань;17:45;2012/2013",
"Зенит;Анжи;1;1;10;декабря;2012;19;стадион ""Петровский"";Санкт-Петербург;20:00;2012/2013",
"Волга НН;Кубань;0;2;8;марта;2013;20;стадион ""Локомотив"";Нижний Новгород;13:30;2012/2013",
"Краснодар;Амкар;2;1;8;марта;2013;20;стадион ""Кубань"";Краснодар;16:00;2012/2013",
"Динамо;Локомотив;1;0;9;марта;2013;20;стадион ""Арена Химки"";Химки;13:30;2012/2013",
"Крылья Советов;ЦСКА;0;2;9;марта;2013;20;стадион ""Металлург"";Самара;16:00;2012/2013",
"Алания;Ростов;0;0;9;марта;2013;20;стадион ""Республиканский стадион Спартак"";Владикавказ;18:30;2012/2013",
"Спартак;Терек;3;1;10;марта;2013;20;стадион ""Лужники"";Москва;13:30;2012/2013",
"Рубин;Зенит;1;0;10;марта;2013;20;стадион ""Ахмат Арена"";Грозный;16:00;2012/2013",
"Мордовия;Анжи;2;0;10;марта;2013;20;стадион ""Старт"";Саранск;16:30;2012/2013",
"Ростов;Волга НН;1;2;15;марта;2013;21;стадион ""Олимп-2"";Ростов-на-Дону;19:00;2012/2013",
"Спартак;Локомотив;0;0;16;марта;2013;21;стадион ""Лужники"";Москва;13:30;2012/2013",
"Амкар;Алания;5;1;16;марта;2013;21;стадион ""Звезда"";Пермь;16:00;2012/2013",
"Кубань;Динамо;1;1;16;марта;2013;21;стадион ""Кубань"";Краснодар;18:30;2012/2013",
"ЦСКА;Краснодар;1;0;17;марта;2013;21;стадион ""Лужники"";Москва;13:30;2012/2013",
"Анжи;Крылья Советов;1;1;17;марта;2013;21;стадион ""Анжи Арена"";Каспийск;15:45;2012/2013",
"Терек;Рубин;0;0;17;марта;2013;21;стадион ""Ахмат Арена"";Грозный;18:00;2012/2013",
"Зенит;Мордовия;1;0;17;марта;2013;21;стадион ""Петровский"";Санкт-Петербург;20:15;2012/2013",
"Рубин;Локомотив;2;0;30;марта;2013;22;стадион ""Центральный"";Казань;13:30;2012/2013",
"Крылья Советов;Мордовия;0;2;30;марта;2013;22;стадион ""Металлург"";Самара;16:00;2012/2013",
"Динамо;Ростов;1;0;30;марта;2013;22;стадион ""Арена Химки"";Химки;18:30;2012/2013",
"Волга НН;Амкар;1;1;31;марта;2013;22;стадион ""Локомотив"";Нижний Новгород;13:30;2012/2013",
"Краснодар;Анжи;4;0;31;марта;2013;22;стадион ""Кубань"";Краснодар;15:45;2012/2013",
"Терек;Зенит;0;3;31;марта;2013;22;стадион ""Анжи Арена"";Каспийск;18:00;2012/2013",
"Спартак;Кубань;2;2;31;марта;2013;22;стадион ""Лужники"";Москва;20:15;2012/2013",
"Алания;ЦСКА;0;4;1;апреля;2013;22;стадион ""Республиканский стадион Спартак"";Владикавказ;19:00;2012/2013",
"Амкар;Динамо;1;1;5;апреля;2013;23;стадион ""Звезда"";Пермь;17:00;2012/2013",
"ЦСКА;Волга НН;2;0;6;апреля;2013;23;стадион ""Лужники"";Москва;14:00;2012/2013",
"Ростов;Спартак;1;0;6;апреля;2013;23;стадион ""Олимп-2"";Ростов-на-Дону;16:30;2012/2013",
"Локомотив;Терек;1;1;6;апреля;2013;23;стадион ""РЖД Арена"";Москва;19:00;2012/2013",
"Зенит;Крылья Советов;1;0;7;апреля;2013;23;стадион ""Петровский"";Санкт-Петербург;13:30;2012/2013",
"Анжи;Алания;0;0;7;апреля;2013;23;стадион ""Анжи Арена"";Каспийск;16:00;2012/2013",
"Кубань;Рубин;0;0;7;апреля;2013;23;стадион ""Кубань"";Краснодар;18:30;2012/2013",
"Мордовия;Краснодар;0;0;8;апреля;2013;23;стадион ""Старт"";Саранск;19:00;2012/2013",
"Динамо;ЦСКА;0;0;12;апреля;2013;24;стадион ""Арена Химки"";Химки;20:00;2012/2013",
"Локомотив;Зенит;0;1;13;апреля;2013;24;стадион ""РЖД Арена"";Москва;13:30;2012/2013",
"Терек;Кубань;2;2;13;апреля;2013;24;стадион ""Ахмат Арена"";Грозный;16:00;2012/2013",
"Краснодар;Крылья Советов;0;3;13;апреля;2013;24;стадион ""Кубань"";Краснодар;18:30;2012/2013",
"Волга НН;Анжи;0;3;14;апреля;2013;24;стадион ""Локомотив"";Нижний Новгород;14:00;2012/2013",
"Спартак;Амкар;2;0;14;апреля;2013;24;стадион ""Лужники"";Москва;16:30;2012/2013",
"Рубин;Ростов;1;1;14;апреля;2013;24;стадион ""Центральный"";Казань;19:00;2012/2013",
"Алания;Мордовия;3;1;15;апреля;2013;24;стадион ""Республиканский стадион Спартак"";Владикавказ;18:00;2012/2013",
"Амкар;Рубин;1;1;19;апреля;2013;25;стадион ""Звезда"";Пермь;17:00;2012/2013",
"Мордовия;Волга НН;1;3;20;апреля;2013;25;стадион ""Старт"";Саранск;13:30;2012/2013",
"Крылья Советов;Алания;2;1;20;апреля;2013;25;стадион ""Металлург"";Самара;16:00;2012/2013",
"Кубань;Локомотив;0;0;20;апреля;2013;25;стадион ""Кубань"";Краснодар;18:30;2012/2013",
"ЦСКА;Спартак;2;2;21;апреля;2013;25;стадион ""Лужники"";Москва;13:30;2012/2013",
"Зенит;Краснодар;1;0;21;апреля;2013;25;стадион ""Петровский"";Санкт-Петербург;16:00;2012/2013",
"Анжи;Динамо;3;3;21;апреля;2013;25;стадион ""Анжи Арена"";Каспийск;18:30;2012/2013",
"Ростов;Терек;0;3;22;апреля;2013;25;стадион ""Олимп-2"";Ростов-на-Дону;19:00;2012/2013",
"Волга НН;Крылья Советов;1;1;26;апреля;2013;26;стадион ""Локомотив"";Нижний Новгород;19:00;2012/2013",
"Динамо;Мордовия;3;1;27;апреля;2013;26;стадион ""Арена Химки"";Химки;13:30;2012/2013",
"Терек;Амкар;2;1;27;апреля;2013;26;стадион ""Ахмат Арена"";Грозный;16:00;2012/2013",
"Локомотив;Ростов;3;1;27;апреля;2013;26;стадион ""РЖД Арена"";Москва;18:30;2012/2013",
"Спартак;Анжи;2;0;28;апреля;2013;26;стадион ""Лужники"";Москва;13:30;2012/2013",
"Кубань;Зенит;2;2;28;апреля;2013;26;стадион ""Кубань"";Краснодар;16:00;2012/2013",
"Рубин;ЦСКА;2;0;28;апреля;2013;26;стадион ""Центральный"";Казань;18:30;2012/2013",
"Алания;Краснодар;2;3;29;апреля;2013;26;стадион ""Республиканский стадион Спартак"";Владикавказ;18:30;2012/2013",
"Мордовия;Спартак;2;1;3;мая;2013;27;стадион ""Старт"";Саранск;18:00;2012/2013",
"ЦСКА;Терек;1;0;4;мая;2013;27;стадион ""Арена Химки"";Химки;13:30;2012/2013",
"Ростов;Кубань;0;2;4;мая;2013;27;стадион ""Олимп-2"";Ростов-на-Дону;15:45;2012/2013",
"Анжи;Рубин;2;1;4;мая;2013;27;стадион ""Анжи Арена"";Каспийск;18:00;2012/2013",
"Зенит;Алания;4;0;4;мая;2013;27;стадион ""Петровский"";Санкт-Петербург;20:15;2012/2013",
"Крылья Советов;Динамо;1;2;5;мая;2013;27;стадион ""Металлург"";Самара;13:30;2012/2013",
"Амкар;Локомотив;2;4;5;мая;2013;27;стадион ""Звезда"";Пермь;16:00;2012/2013",
"Краснодар;Волга НН;2;0;5;мая;2013;27;стадион ""Кубань"";Краснодар;18:30;2012/2013",
"Рубин;Мордовия;2;1;10;мая;2013;28;стадион ""Центральный"";Казань;17:30;2012/2013",
"Спартак;Крылья Советов;1;1;10;мая;2013;28;стадион ""Лужники"";Москва;20:00;2012/2013",
"Динамо;Краснодар;1;1;11;мая;2013;28;стадион ""Арена Химки"";Химки;13:30;2012/2013",
"Волга НН;Алания;1;0;11;мая;2013;28;стадион ""Локомотив"";Нижний Новгород;16:00;2012/2013",
"Кубань;Амкар;4;0;11;мая;2013;28;стадион ""Кубань"";Краснодар;19:30;2012/2013",
"Локомотив;ЦСКА;1;4;12;мая;2013;28;стадион ""РЖД Арена"";Москва;13:30;2012/2013",
"Терек;Анжи;1;0;12;мая;2013;28;стадион ""Ахмат Арена"";Грозный;16:00;2012/2013",
"Ростов;Зенит;1;1;12;мая;2013;28;стадион ""Олимп-2"";Ростов-на-Дону;18:30;2012/2013",
"Амкар;Ростов;3;2;17;мая;2013;29;стадион ""Звезда"";Пермь;17:00;2012/2013",
"ЦСКА;Кубань;0;0;18;мая;2013;29;стадион ""Арена Химки"";Химки;13:30;2012/2013",
"Мордовия;Терек;1;1;18;мая;2013;29;стадион ""Старт"";Саранск;17:00;2012/2013",
"Краснодар;Спартак;0;1;18;мая;2013;29;стадион ""Кубань"";Краснодар;19:30;2012/2013",
"Алания;Динамо;1;0;19;мая;2013;29;стадион ""Республиканский стадион Спартак"";Владикавказ;13:30;2012/2013",
"Крылья Советов;Рубин;3;1;19;мая;2013;29;стадион ""Металлург"";Самара;16:00;2012/2013",
"Зенит;Волга НН;3;1;19;мая;2013;29;стадион ""Петровский"";Санкт-Петербург;18:30;2012/2013",
"Анжи;Локомотив;2;1;20;мая;2013;29;стадион ""Анжи Арена"";Каспийск;19:00;2012/2013",
"Амкар;Зенит;0;0;26;мая;2013;30;стадион ""Звезда"";Пермь;13:30;2012/2013",
"Динамо;Волга НН;0;0;26;мая;2013;30;стадион ""Арена Химки"";Химки;13:30;2012/2013",
"Спартак;Алания;2;0;26;мая;2013;30;стадион """"Торпедо"" им. Э. А. Стрельцова"";Москва;13:30;2012/2013",
"Локомотив;Мордовия;2;1;26;мая;2013;30;стадион ""РЖД Арена"";Москва;13:30;2012/2013",
"Ростов;ЦСКА;3;0;26;мая;2013;30;стадион ""Олимп-2"";Ростов-на-Дону;13:30;2012/2013",
"Кубань;Анжи;1;0;26;мая;2013;30;стадион ""Кубань"";Краснодар;13:30;2012/2013",
"Терек;Крылья Советов;4;1;26;мая;2013;30;стадион ""Ахмат Арена"";Грозный;13:30;2012/2013",
"Рубин;Краснодар;2;0;26;мая;2013;30;стадион ""Центральный"";Казань;13:30;2012/2013",
"Динамо;Волга НН;2;2;14;июля;2013;1;стадион ""Арена Химки"";Химки;13:30;2013/2014",
"Анжи;Локомотив;2;2;14;июля;2013;1;стадион ""Анжи Арена"";Каспийск;18:30;2013/2014",
"Кубань;Рубин;1;1;14;июля;2013;1;стадион ""Кубань"";Краснодар;21:00;2013/2014",
"Ростов;Терек;2;1;15;июля;2013;1;стадион ""Олимп-2"";Ростов-на-Дону;20:00;2013/2014",
"Амкар;Томь;2;0;16;июля;2013;1;стадион ""Звезда"";Пермь;17:00;2013/2014",
"Крылья Советов;Спартак;1;2;16;июля;2013;1;стадион ""Металлург"";Самара;19:30;2013/2014",
"Урал;ЦСКА;2;2;17;июля;2013;1;стадион ""Екатеринбург Арена"";Екатеринбург;17:30;2013/2014",
"Краснодар;Зенит;1;2;17;июля;2013;1;стадион ""Кубань"";Краснодар;20:00;2013/2014",
"Динамо;Анжи;2;1;19;июля;2013;2;стадион ""Арена Химки"";Химки;20:00;2013/2014",
"Томь;Кубань;1;2;20;июля;2013;2;стадион ""Труд"";Томск;16:00;2013/2014",
"Волга НН;Локомотив;1;2;20;июля;2013;2;стадион ""Локомотив"";Нижний Новгород;18:30;2013/2014",
"Терек;Амкар;1;1;20;июля;2013;2;стадион ""Ахмат Арена"";Грозный;21:00;2013/2014",
"Рубин;Зенит;2;1;21;июля;2013;2;стадион ""Центральный"";Казань;13:30;2013/2014",
"Урал;Спартак;0;2;21;июля;2013;2;стадион ""Екатеринбург Арена"";Екатеринбург;16:00;2013/2014",
"Ростов;Краснодар;2;2;21;июля;2013;2;стадион ""Олимп-2"";Ростов-на-Дону;20:00;2013/2014",
"ЦСКА;Крылья Советов;2;1;22;июля;2013;2;стадион ""Арена Химки"";Химки;20:00;2013/2014",
"Зенит;Кубань;1;1;26;июля;2013;3;стадион ""Петровский"";Санкт-Петербург;20:00;2013/2014",
"Динамо;Спартак;1;4;27;июля;2013;3;стадион ""Арена Химки"";Химки;13:30;2013/2014",
"Урал;Волга НН;1;2;27;июля;2013;3;стадион ""Екатеринбург Арена"";Екатеринбург;16:30;2013/2014",
"Ростов;Томь;3;0;27;июля;2013;3;стадион ""Олимп-2"";Ростов-на-Дону;20:00;2013/2014",
"Локомотив;ЦСКА;1;2;28;июля;2013;3;стадион ""РЖД Арена"";Москва;13:30;2013/2014",
"Крылья Советов;Анжи;1;1;28;июля;2013;3;стадион ""Металлург"";Самара;18:30;2013/2014",
"Терек;Рубин;0;0;28;июля;2013;3;стадион ""Ахмат Арена"";Грозный;21:00;2013/2014",
"Краснодар;Амкар;2;1;29;июля;2013;3;стадион ""Кубань"";Краснодар;20:00;2013/2014",
"Анжи;Ростов;0;1;2;августа;2013;4;стадион ""Динамо"";Махачкала;20:00;2013/2014",
"Волга НН;Зенит;1;3;3;августа;2013;4;стадион ""Локомотив"";Нижний Новгород;13:30;2013/2014",
"Томь;Урал;1;2;3;августа;2013;4;стадион ""Труд"";Томск;17:20;2013/2014",
"Динамо;Терек;1;0;3;августа;2013;4;стадион ""Арена Химки"";Химки;18:30;2013/2014",
"Рубин;ЦСКА;0;0;4;августа;2013;4;стадион ""Центральный"";Казань;13:30;2013/2014",
"Амкар;Крылья Советов;0;0;4;августа;2013;4;стадион ""Звезда"";Пермь;16:00;2013/2014",
"Кубань;Спартак;2;2;4;августа;2013;4;стадион ""Кубань"";Краснодар;20:30;2013/2014",
"Локомотив;Краснодар;3;1;5;августа;2013;4;стадион ""РЖД Арена"";Москва;21:15;2013/2014",
"Урал;Амкар;0;0;17;августа;2013;5;стадион ""Екатеринбург Арена"";Екатеринбург;13:30;2013/2014",
"Зенит;Анжи;3;0;17;августа;2013;5;стадион ""Петровский"";Санкт-Петербург;18:15;2013/2014",
"Терек;Локомотив;0;1;17;августа;2013;5;стадион ""Ахмат Арена"";Грозный;20:30;2013/2014",
"ЦСКА;Кубань;1;0;18;августа;2013;5;стадион ""Арена Химки"";Химки;13:30;2013/2014",
"Спартак;Рубин;0;0;18;августа;2013;5;стадион ""РЖД Арена"";Москва;15:45;2013/2014",
"Крылья Советов;Томь;1;0;18;августа;2013;5;стадион ""Металлург"";Самара;18:00;2013/2014",
"Краснодар;Динамо;1;1;18;августа;2013;5;стадион ""Кубань"";Краснодар;20:15;2013/2014",
"Ростов;Волга НН;4;0;19;августа;2013;5;стадион ""Олимп-2"";Ростов-на-Дону;20:00;2013/2014",
"Динамо;Зенит;1;1;24;августа;2013;6;стадион ""Арена Химки"";Химки;13:30;2013/2014",
"Томь;ЦСКА;1;2;24;августа;2013;6;стадион ""Труд"";Томск;16:00;2013/2014",
"Волга НН;Терек;1;0;24;августа;2013;6;стадион ""Локомотив"";Нижний Новгород;18:30;2013/2014",
"Анжи;Краснодар;1;2;24;августа;2013;6;стадион ""Динамо"";Махачкала;21:00;2013/2014",
"Рубин;Крылья Советов;1;1;25;августа;2013;6;стадион ""Центральный"";Казань;17:30;2013/2014",
"Кубань;Урал;3;2;25;августа;2013;6;стадион ""Кубань"";Краснодар;20:00;2013/2014",
